,cluster,k_core,avg_n_d,bet_pos,cluster_pos,k_core_pos,avg_n_d_pos,bet_neg,cluster_neg,eigen_neg,bet_eli,cluster_eli,k_core_eli,open,business_id
0,-0.685660139,-0.441784203,-0.690397312,-0.293594211,-0.446993599,-0.70663407,-0.215339501,0.510742906,0.21396847,-0.27188065,-0.164111718,0.004131424,0.13039361,TRUE,kIH0JLW5zFTJrrSchsIb2w
1,-0.776880354,0.78659404,-0.161727934,-0.324341754,0.768579691,0.354378172,0.451370569,-0.204202554,-0.629646023,-0.317388063,-0.302139842,0.552798434,0.18992752,TRUE,gqieCffMWjRTRIqdeXcvXQ
2,-1.434346328,0.842661097,-0.641433019,2.818037776,-0.899454238,1.063930109,0.038748869,-0.204202554,-0.629646023,-0.318137127,0.512476046,-0.206044706,1.326483989,TRUE,kRMmce-qdD06nm4ESno_3g
3,-1.901473866,0.842661097,-1.348024447,9.758122549,-1.028302696,1.063930109,-0.093022237,0.513132021,-0.207838775,-0.289842597,10.87702589,-0.833176538,1.326483989,TRUE,lYNVfn3o7tTqSAPTaBLAWA
4,-0.117159248,0.842661097,0.216824669,-0.232520172,0.404326257,1.063930109,0.546785307,-0.204202554,1.901197458,-0.117879881,-0.408921089,1.162091801,-1.006162859,TRUE,3nNGmYNOP9WSB3pa8oFz6A
5,-1.01555253,0.842661097,-0.117710783,-0.395532012,-2.168821493,-1.489130598,-2.643058244,-0.204202554,-0.629646023,-0.318137127,-0.408922821,-1.833599578,-1.417488057,TRUE,#NAME?
6,0.318875876,-0.207321965,0.097230775,-0.332097891,0.291780642,-0.030238766,0.268179094,-0.204202554,-0.629646023,-0.318137127,-0.227107319,0.285250457,0.449711856,TRUE,apjUK1BbswSKo5jZMuwq7A
7,-0.471273869,0.231020478,0.31272361,-0.327111803,-0.006911317,-0.129708663,0.512855007,-0.204202554,-0.629646023,-0.318137127,-0.326610941,0.055258947,-0.443296798,TRUE,0_CG2HJGjGAgyxVKlBgLGg
8,0.149692205,-1.191043961,-1.201251145,-0.280159474,0.218826488,-0.633689478,-0.09752073,-0.204202554,-0.629646023,-0.318137127,-0.408921089,1.162091801,-1.006162859,TRUE,nK8JQlU-TKmFUP-twpc7nA
9,-0.993288194,0.761109014,-0.465324972,0.714842106,-0.591743029,1.063930109,0.125105453,-0.204202554,-0.629646023,-0.318137127,1.349433729,-0.420252425,1.326483989,TRUE,KHHWnksByK98R5iH8irYDw
10,-1.597490239,0.842661097,-0.885280338,2.997295953,-0.847216986,1.063930109,0.072835877,-0.204202554,-0.629646023,-0.318137127,2.835523874,-0.577442575,1.326483989,TRUE,m0yOk-81jhCxUXy4_hqMpw
11,-1.023846823,0.842661097,-0.17368734,0.652421823,-0.294479367,1.063930109,0.399427702,-0.204202554,1.901197458,-0.140275984,0.264709342,-0.228759759,0.639137934,TRUE,ea1oDRrNCpEFGeAPmwgbiw
12,-0.568506674,-0.920902687,-1.276163935,-0.303981895,0.026497274,-0.633689478,-0.530240788,-0.204202554,-0.629646023,-0.318137127,-0.408921089,1.162091801,-1.006162859,TRUE,zORH1_OWemteuO5CkLUbSA
13,-0.494893323,0.557228808,-0.080334533,-0.370878577,0.969955525,0.354378172,0.567966635,-0.204202554,1.901197458,-0.258288022,-0.15005037,0.176051913,0.379353598,TRUE,8JNqUTrXATJyNet8kL85Qg
14,-2.075188531,0.842661097,-1.628137944,5.669787926,-0.956947959,1.063930109,-0.017523043,14.20071528,0.02752258,0.991790943,11.22866129,-0.916726142,1.326483989,TRUE,6TR6mvRwfmvW6A77j3sllg
15,-1.239684167,0.842661097,-0.443987178,1.729732637,-0.623158637,1.063930109,0.228136161,-0.204202554,-0.629646023,-0.318137127,0.797863093,-0.318508348,1.326483989,TRUE,WunFu-5VGn7o5XCDuxLBTw
16,-0.062982227,0.78659404,0.857075374,-0.054971115,0.060053252,1.063930109,0.680853024,-0.204202554,-0.629646023,-0.318137127,0.575342936,-0.048550917,1.326483989,TRUE,SuFx7otHdR-8nLw2sxkY0w
17,0.220753216,-1.191043961,-1.180614247,-0.395532012,-2.168821493,-1.489130598,-2.643058244,-0.204202554,-0.629646023,-0.318137127,-0.408921089,1.162091801,-1.006162859,TRUE,SN1L-KXqso9NzjEaw2LKHg
18,-1.043089092,0.679556932,-0.673384056,0.323956345,-0.510128271,0.659419192,0.130374043,-0.204202554,-0.629646023,-0.318137127,0.857127646,-0.446170505,0.828564012,TRUE,PA_uPKMxTSkVJUlrNJ7mfA
19,-1.615777105,0.781497035,-1.224097046,0.190223922,-0.539208957,0.579843274,0.099354318,1.299457187,1.254791548,-0.117419776,2.189113425,-0.616467533,0.861037054,TRUE,CDV83N76Fj7CqLKSN8DGQw
